transfer_id,departure_object_id,arrival_object_id,departure_epoch,time_of_flight,revolutions,prograde,departure_position_x,departure_position_y,departure_position_z,departure_velocity_x,departure_velocity_y,departure_velocity_z,departure_semi_major_axis,departure_eccentricity,departure_inclination,departure_argument_of_periapsis,departure_longitude_of_ascending_node,departure_true_anomaly,arrival_position_x,arrival_position_y,arrival_position_z,arrival_velocity_x,arrival_velocity_y,arrival_velocity_z,arrival_semi_major_axis,arrival_eccentricity,arrival_inclination,arrival_argument_of_periapsis,arrival_longitude_of_ascending_node,arrival_true_anomaly,transfer_semi_major_axis,transfer_eccentricity,transfer_inclination,transfer_argument_of_periapsis,transfer_longitude_of_ascending_node,transfer_true_anomaly,departure_delta_v_x,departure_delta_v_y,departure_delta_v_z,arrival_delta_v_x,arrival_delta_v_y,arrival_delta_v_z,transfer_delta_v
160605,24812,27445,2.4574e+06,414740,4,1,40135.6,12922.1,-14.6944,-0.941423,2.92704,0.00247216,42166.1,0.000301655,0.000876405,4.42783,0.720435,1.44641,26298.5,-32952.2,-45.3689,2.4033,1.91839,0.000508953,42166.9,0.000189789,0.00108875,5.37945,0.521052,5.76865,42195.7,0.000969337,0.00107668,5.25209,0.641099,0.701472,0.000623354,0.00133529,0.000660534,-9.55463e-05,-0.001561,0.000399877,0.00322913
221880,27445,24812,2.4574e+06,414740,4,1,40553.9,11524.1,-8.8651,-0.840319,2.95805,0.00263322,42166.8,0.000191329,0.000881762,5.59821,0.517661,0.444187,27442.3,-31996.8,-47.6009,2.33477,2.00197,-4.56291e-05,42166.2,0.000334083,0.00112934,4.34702,0.721945,0.352344,42134,0.000643387,0.00116567,2.61363,0.458251,3.48817,-0.000562395,-0.00140417,0.000891301,0.000206409,0.00156731,-0.000932995,0.00359131
160620,24812,27445,2.4574e+06,414740,4,1,-735.951,42170.2,30.1678,-3.07336,-0.0533697,0.00180811,42166.1,0.000263983,0.000926043,4.36027,0.705637,2.80552,39150.5,15643.2,-7.82775,-1.14071,2.85566,0.0034195,42167,0.000189507,0.00112742,5.58905,0.545569,0.528701,42195.6,0.000856177,0.000855877,6.25341,0.598803,1.01922,-0.00110712,0.00195481,-0.000361273,0.00111848,-0.000675059,0.000849341,0.00383365
221895,27445,24812,2.4574e+06,414740,4,1,707.83,42161,33.8845,-3.07412,0.0520818,0.0014117,42166.8,0.000153609,0.000925447,5.74984,0.502213,1.58514,38575.6,17026.3,-16.2411,-1.24066,2.81317,0.00346025,42166.3,0.000298089,0.00118962,4.40581,0.745376,1.54765,42134.2,0.000909422,0.00113048,3.38501,0.763334,3.68885,0.00115881,-0.00194827,0.00103089,-0.00106077,0.00081229,0.000194269,0.00384036
221890,27445,24812,2.4574e+06,414740,4,1,23952.5,-34695.1,-38.1504,2.5304,1.74729,0.000273348,42166.8,0.000188531,0.00090924,5.38189,0.506414,5.71151,-21482.4,-36272.1,-14.5469,2.6464,-1.56654,-0.00344074,42166.3,0.000325273,0.00117091,4.20384,0.736946,5.52008,42134.3,0.000680552,0.000905653,1.08183,0.645194,3.5896,-0.00131391,-0.000185952,-0.000386522,0.00203625,0.00114803,-0.000866193,0.00387506
160615,24812,27445,2.4574e+06,414740,4,1,25137.3,-33837.1,-38.1622,2.46904,1.83386,-0.000197934,42166.1,0.00033471,0.000907614,4.35067,0.709807,0.290845,-22741.4,-35509.4,-21.0821,2.58933,-1.65774,-0.00306822,42167,0.000151662,0.00111625,5.24332,0.536768,4.64587,42195.5,0.0010676,0.000925382,4.61096,0.430412,0.309954,0.00128008,7.08977e-05,0.000786418,-0.0020076,-0.00121025,-0.000674566,0.00394332
212510,26900,27380,2.4574e+06,414740,4,1,31009.5,-28551.8,-31.4105,2.08354,2.26232,-0.000519259,42165.3,0.000337347,0.000764037,4.1163,1.04933,0.373402,-15695.2,-39124.4,-18.5556,2.85452,-1.14437,-0.0011526,42165.4,0.000332362,0.00057818,4.75973,0.323959,5.53038,42194.7,0.00118576,0.000768533,4.41003,0.579438,0.549554,0.00184834,-0.000245452,0.00109641,-0.00156183,-0.00102427,0.000784545,0.00418886
212505,26900,27380,2.4574e+06,414740,4,1,-41848.9,5195.92,29.1765,-0.377993,-3.05093,-0.0008832,42165.3,0.000286024,0.000749081,3.95472,1.05392,4.29261,-10044.9,40962.8,24.2236,-2.98541,-0.731876,0.000124345,42165.4,0.000270071,0.000575759,4.88495,0.310728,2.89877,42194.7,0.000627573,0.000775825,1.64561,0.977764,0.394694,-0.00166491,-0.000871053,-0.000195784,0.000654318,0.00180822,-0.00147863,0.0043149
212515,26900,27380,2.4574e+06,414740,4,1,-8590.52,41292.1,21.9885,-3.00942,-0.625897,0.00178734,42165.3,0.000266764,0.000780945,4.10416,1.04495,2.90999,35522.6,22716.7,5.57101,-1.65568,2.59076,0.00173225,42165.3,0.00030434,0.000578647,4.94992,0.338595,1.56363,42194.7,0.000726109,0.000524472,0.536772,0.314298,0.924843,-0.00137376,0.00134301,-0.00161068,0.00188744,-6.15028e-05,0.00017124,0.00440322
160625,24812,27445,2.4574e+06,414740,4,1,-23965.7,-34682.1,-10.3925,2.53041,-1.74765,-0.00280871,42166.1,0.000323263,0.000946066,4.23114,0.702513,5.45725,-40947.2,10090.2,34.2704,-0.735529,-2.9849,-0.00244337,42167,0.000121416,0.00113669,5.45353,0.554886,3.17476,42195,0.000934223,0.000994005,3.13609,0.715507,0.256129,3.6676e-05,-0.00179768,-0.000153806,-0.00201477,0.00154736,-0.000681128,0.00443474
