transfer_id,lambert_transfer_id,transfer_delta_v,departure_object_id,arrival_object_id,arrival_position_x,arrival_position_y,arrival_position_z,arrival_velocity_x,arrival_velocity_y,arrival_velocity_z,arrival_position_x_error,arrival_position_y_error,arrival_position_z_error,arrival_position_error,arrival_velocity_x_error,arrival_velocity_y_error,arrival_velocity_z_error,arrival_velocity_error
1627,124578,0.316250515539404,12159,9980,-24651.1485661661,-3990.75383458495,32291.5591604625,0.823888942546873,-1.11376161124032,1.13503810162542,-12.0115687208054,61.1240015778021,3.25252168506995,62.3778826935448,-0.00254877406683796,-0.00190187372133432,-0.00157083427779137,0.00354695548660708,
1629,124580,0.358673124243011,12159,9980,-8381.07451363645,-14105.1038840587,31369.775684831,2.03319735762427,-0.396704431598344,-1.34997653449446,-57.1351257306651,37.1183395793978,-20.4966575456929,71.1498889383238,-0.00220444069820447,-0.0101196295973481,-0.00420534549168061,0.0111781658908706,
1110,82905,0.363248123782981,9980,12159,-26330.2988207714,1152.26154482303,25415.4457364242,-0.125939489057275,-1.30001167061219,2.16918394190475,8.10062974082393,75.2888076745444,60.8342131477657,97.1330337864531,5.85433257712376e-05,-1.45744347535004e-05,-0.00579777079920119,0.00579808468161777,
1634,124595,0.36867339749798,12159,9980,3626.55979851176,-13666.0709540177,17885.9400138844,2.15537495624602,0.929397364044063,-3.57812700187397,-83.3006843991052,-33.3577991690763,0.216192244970443,89.7317865967826,0.00397296473960251,-0.012872967530572,0.000770726392337551,0.013494138024977,
1626,124577,0.387598927186424,12159,9980,-26318.897209035,2718.90164580488,23164.755623113,-0.161408688012618,-1.0787674377383,2.29778619861422,-2.81501077381836,31.4411247471812,2.482187014386,31.6643310903438,-0.00104143910859447,0.000416218724513362,-0.00110512270425422,0.00157452520938972,
1109,82904,0.394813715029201,9980,12159,-26122.3553590758,2796.35074003809,22133.707629762,-0.474953237604818,-1.28970467209723,2.43666366723871,8.17056892759138,56.093901140277,53.6506392028205,78.0491833948755,0.00109550520923035,0.00051407767711642,-0.00448258204877217,0.00464305388139474,
1633,124594,0.395653635257139,12159,9980,-8344.07212093959,-14122.835841278,31363.1711597793,2.03344082043805,-0.490643644936922,-1.2220155666964,-59.8825740778684,28.2464916660974,0.526361975982581,66.212264925496,-0.00285241506032952,-0.00826775569086363,-0.000102940522588968,0.00874657947951046,
1476,109325,0.395881523953213,11079,7382,-14907.9922589834,-4072.24973521266,2440.30513295632,-2.37346899943259,-2.895756421251,4.59214107015846,18.7466515014057,125.835198070427,-84.0203455273904,152.464266234685,-0.0418810916405574,0.00450437806525628,0.00468596822360112,0.0423824675656353,
1628,124579,0.399455255635589,12159,9980,-18226.0901393487,-9995.66803823146,35214.9415058092,1.52698257561342,-0.859976589765368,-0.0675508802167902,-35.1554981250338,72.7619343447677,-3.57335097498435,80.8886702524029,-0.00338448967087879,-0.00629708066220902,-0.00247347142831665,0.00756479055264261,
1603,122200,0.429260992695906,11909,10155,-13811.9967362312,-17463.5213047884,34609.052584872,1.3471368826172,-0.510180011717613,1.28013206689764,-57.1070862938031,44.5386888822868,32.3621843631263,79.3235468765359,-0.000563998207810945,-0.00309782494448196,-0.00690688253856786,0.00759076015736515,
