transfer_id,departure_object_id,arrival_object_id,departure_epoch,time_of_flight,revolutions,prograde,departure_position_x,departure_position_y,departure_position_z,departure_velocity_x,departure_velocity_y,departure_velocity_z,departure_semi_major_axis,departure_eccentricity,departure_inclination,departure_argument_of_periapsis,departure_longitude_of_ascending_node,departure_true_anomaly,arrival_position_x,arrival_position_y,arrival_position_z,arrival_velocity_x,arrival_velocity_y,arrival_velocity_z,arrival_semi_major_axis,arrival_eccentricity,arrival_inclination,arrival_argument_of_periapsis,arrival_longitude_of_ascending_node,arrival_true_anomaly,transfer_semi_major_axis,transfer_eccentricity,transfer_inclination,transfer_argument_of_periapsis,transfer_longitude_of_ascending_node,transfer_true_anomaly,departure_delta_v_x,departure_delta_v_y,departure_delta_v_z,arrival_delta_v_x,arrival_delta_v_y,arrival_delta_v_z,transfer_delta_v
124578,12159,9980,2.4574e+06,86460,2,1,-21844.1,7260.74,9319.49,-1.92029,-0.848493,3.51887,26033.4,0.674807,1.12408,4.45246,2.62552,2.25988,-24639.1,-4051.88,32288.3,0.771991,-1.16363,1.05872,24216.1,0.71477,1.08965,4.36187,2.56351,3.02387,24424.2,0.703632,1.11686,4.34584,2.62185,2.3681,-0.0735477,0.103799,-0.164598,-0.0544463,-0.0517737,-0.0778915,0.316251
124580,12159,9980,2.4574e+06,172820,4,1,-21844.1,7260.74,9319.49,-1.92029,-0.848493,3.51887,26033.4,0.674807,1.12408,4.45246,2.62552,2.25988,-8323.94,-14142.2,31390.3,1.98697,-0.444407,-1.37854,24215.4,0.714819,1.0896,4.36228,2.56022,3.51457,24300.3,0.71229,1.0891,4.33547,2.60743,2.38497,-0.142044,0.068925,-0.226916,-0.0484302,-0.0578223,-0.0327672,0.358673
82905,9980,12159,2.4574e+06,172820,4,1,-19251.6,8291.71,6723.95,-2.60126,-0.531388,3.5648,24219.7,0.714619,1.0898,4.36182,2.5667,2.27312,-26338.4,1076.97,25354.6,0.00619192,-1.2333,2.22771,26030.8,0.674925,1.124,4.45189,2.62179,2.70807,25950.6,0.694564,1.08173,4.46977,2.56335,2.16673,0.0249897,-0.144597,0.144691,0.13219,0.0666956,0.0527235,0.363248
124595,12159,9980,2.4574e+06,172820,4,1,-24027.9,5943.06,14007.1,-1.24079,-1.04475,3.17609,26032.1,0.674832,1.12405,4.45229,2.62459,2.4086,3709.86,-13632.7,17885.7,2.08527,0.908952,-3.65239,24214.1,0.714737,1.08963,4.36242,2.55855,3.9754,23938.4,0.706717,1.07587,4.34699,2.58872,2.53017,-0.0808883,0.00552507,-0.251604,-0.0661331,-0.0333182,-0.0734907,0.368673
124577,12159,9980,2.4574e+06,43280,1,1,-21844.1,7260.74,9319.49,-1.92029,-0.848493,3.51887,26033.4,0.674807,1.12408,4.45246,2.62552,2.25988,-26316.1,2687.46,23162.3,-0.270117,-1.18078,2.17854,24216.2,0.714685,1.08971,4.36175,2.56513,2.75915,24607.9,0.69818,1.15205,4.35344,2.63951,2.35303,-0.0099786,0.170246,-0.095857,-0.10975,-0.101597,-0.120351,0.387599
82904,9980,12159,2.4574e+06,129640,3,1,-19251.6,8291.71,6723.95,-2.60126,-0.531388,3.5648,24219.7,0.714619,1.0898,4.36182,2.5667,2.27312,-26130.5,2740.26,22080.1,-0.316787,-1.20965,2.52043,26031,0.674895,1.12401,4.45201,2.62272,2.6255,25919.9,0.69771,1.0691,4.46515,2.55803,2.17387,-0.0095999,-0.163102,0.114508,0.159262,0.0805699,0.0792805,0.394814
124594,12159,9980,2.4574e+06,129640,3,1,-24027.9,5943.06,14007.1,-1.24079,-1.04475,3.17609,26032.1,0.674832,1.12405,4.45229,2.62459,2.4086,-8284.19,-14151.1,31362.6,1.98846,-0.441868,-1.38417,24215.4,0.714819,1.0896,4.36228,2.56022,3.51567,23934.9,0.688669,1.08908,4.35817,2.59878,2.51428,0.00824618,-0.0159683,-0.220978,-0.0478307,0.0405076,-0.162261,0.395654
109325,11079,7382,2.4574e+06,172820,4,1,13704.2,-14199,31409.1,1.21789,1.07771,-1.66516,24797.8,0.712822,1.09301,4.67489,3.30718,3.48515,-14926.7,-4198.08,2524.33,-2.32998,-2.74727,4.3035,20708.2,0.674018,1.08686,4.46541,3.33008,2.00031,25144.6,0.694927,1.08672,4.64425,3.33005,3.50521,0.0510253,0.0523015,0.00620949,0.00160383,0.152996,-0.283951,0.395882
124579,12159,9980,2.4574e+06,129640,3,1,-21844.1,7260.74,9319.49,-1.92029,-0.848493,3.51887,26033.4,0.674807,1.12408,4.45246,2.62552,2.25988,-18190.9,-10068.4,35218.5,1.4682,-0.935431,-0.0414952,24216,0.714821,1.08961,4.36206,2.56187,3.25237,24279,0.718646,1.1015,4.32294,2.61393,2.39453,-0.150113,0.12038,-0.222387,-0.0621716,-0.0817511,0.0235822,0.399455
66138,8621,15387,2.4574e+06,86460,2,1,5063.35,-23565.6,-7581.36,2.07856,3.0208,1.45335,24924.3,0.719288,0.381054,1.44809,5.82688,3.8964,-25505.7,-16315,-10747.8,-0.148061,-2.48851,-1.17475,23149.8,0.708912,0.448316,1.32103,6.0221,2.7022,23743,0.734819,0.388253,1.53871,5.80132,3.82947,-0.126258,-0.0454563,-0.00490472,0.205136,0.131877,-0.15806,0.424893
