transfer_id,departure_object_id,arrival_object_id,departure_epoch,time_of_flight,revolutions,prograde,departure_position_x,departure_position_y,departure_position_z,departure_velocity_x,departure_velocity_y,departure_velocity_z,departure_semi_major_axis,departure_eccentricity,departure_inclination,departure_argument_of_periapsis,departure_longitude_of_ascending_node,departure_true_anomaly,arrival_position_x,arrival_position_y,arrival_position_z,arrival_velocity_x,arrival_velocity_y,arrival_velocity_z,arrival_semi_major_axis,arrival_eccentricity,arrival_inclination,arrival_argument_of_periapsis,arrival_longitude_of_ascending_node,arrival_true_anomaly,transfer_semi_major_axis,transfer_eccentricity,transfer_inclination,transfer_argument_of_periapsis,transfer_longitude_of_ascending_node,transfer_true_anomaly,departure_delta_v_x,departure_delta_v_y,departure_delta_v_z,arrival_delta_v_x,arrival_delta_v_y,arrival_delta_v_z,transfer_delta_v
402255,40522,40479,2.4574e+06,25940,4,0,6880.96,1735.59,1292.76,-1.00207,-1.43882,7.22412,7213.62,0.000996039,1.72359,1.70407,0.275133,4.76146,-1045.51,-1414.36,6989.81,-7.08507,-1.75952,-1.41446,7206.76,0.000216769,1.72404,5.82822,0.273348,2.21962,7217.04,0.00140014,1.72369,1.37124,0.275152,5.09429,-0.00218873,-0.00160297,0.00118807,0.00181686,0.0146474,0.000444282,0.0177281
402270,40522,40479,2.4574e+06,25940,4,0,5964.28,1065.86,3908.2,-3.67258,-2.02467,6.1392,7208.82,0.00129806,1.72364,2.26863,0.276372,4.59507,-3550.45,-1956.87,5961.43,-6.16117,-1.09152,-4.01936,7211.46,0.000975718,1.72399,0.894,0.274689,1.25634,7219.62,0.00196283,1.72312,1.39685,0.276028,5.4668,-0.0048444,0.00271422,0.00473138,0.00183,0.0126483,0.00151403,0.0201647
372634,40406,40606,2.4574e+06,19480,3,0,-3044.04,-1899.04,6239.46,-6.4132,-1.32481,-3.52736,7190.4,0.00112117,1.72355,5.71882,0.286733,2.63615,-6872.97,-1838.5,-1136.11,0.818607,1.40646,-7.26161,7211.86,0.00121315,1.72361,2.67809,0.285975,0.623737,7213.33,0.00225218,1.72393,2.28536,0.286027,6.06949,-0.00864596,0.00551583,-0.0112974,0.00914522,-0.000143658,0.00177399,0.0245748
372649,40406,40606,2.4574e+06,19480,3,0,-5273.4,-2260.34,4348.76,-4.61765,-0.434507,-5.81735,7197.49,0.00069194,1.72348,0.545876,0.288042,1.93819,-6015.76,-1167.66,-3792.55,3.52242,2.0404,-6.22442,7207.22,0.000637455,1.72366,2.24904,0.287212,1.45406,7216.03,0.00237922,1.72415,2.7059,0.287519,6.06126,-0.00132305,0.00814992,-0.0117673,0.00751323,-0.00362157,0.00847524,0.0262659
402260,40522,40479,2.4574e+06,25940,4,0,-4965.9,-2165.06,4747.79,-5.00762,-0.539793,-5.47624,7206.24,0.000778373,1.72367,1.36965,0.275695,1.04193,-4825.11,-495.667,-5355.3,5.1528,2.22488,-4.85563,7213.92,0.00174238,1.72396,1.26317,0.273645,2.72642,7217.45,0.00223014,1.72483,1.89903,0.274641,0.512388,-0.00915504,0.0096993,-0.000408039,0.00746845,-0.00918657,0.00647909,0.0268401
372635,40406,40606,2.4574e+06,25940,4,0,-3044.04,-1899.04,6239.46,-6.4132,-1.32481,-3.52736,7190.4,0.00112117,1.72355,5.71882,0.286733,2.63615,-6084.93,-1208.21,-3667.26,3.3936,2.0151,-6.30403,7207.55,0.000649928,1.72366,2.31801,0.28721,1.36445,7212.41,0.00225369,1.72338,2.47556,0.287042,5.87945,-0.00457131,-0.00168024,-0.0149966,0.00742156,0.00341967,0.00803046,0.0272246
402275,40522,40479,2.4574e+06,25940,4,0,-6457.11,-2206.14,2315.11,-2.62518,0.366997,-6.95292,7212.32,0.00124724,1.7236,2.07793,0.276951,0.732567,-2595.32,348.716,-6735.9,6.62864,2.26165,-2.44045,7208.09,0.00266122,1.72403,1.39941,0.274969,2.974,7220.25,0.00223844,1.7246,2.36986,0.276606,0.440588,-0.00434485,0.00735651,-0.00233194,0.00206505,-0.0145842,0.011105,0.0273031
372650,40406,40606,2.4574e+06,25940,4,0,-5273.4,-2260.34,4348.76,-4.61765,-0.434507,-5.81735,7197.49,0.00069194,1.72348,0.545876,0.288042,1.93819,-4318.33,-355.321,-5760.79,5.56909,2.34822,-4.32527,7200.59,0.00125067,1.72373,1.46365,0.288497,2.61974,7214.46,0.00228676,1.72343,2.88707,0.288077,5.88018,0.00309474,0.00270028,-0.0138352,0.000270706,0.00191217,0.0136694,0.0282371
372640,40406,40606,2.4574e+06,25940,4,0,-3031.15,153.528,-6529.42,6.41573,2.36252,-2.92048,7189.11,0.00158708,1.72357,0.98145,0.287013,3.32191,6321.79,2291.66,-2616.57,2.91165,-0.235541,6.83127,7209.88,0.00078904,1.72363,2.58975,0.287793,3.31775,7213.05,0.00178545,1.72386,4.14441,0.287702,0.159055,0.0073442,0.00926003,-0.00784705,-0.0134579,-0.00269723,0.00388419,0.0284512
402269,40522,40479,2.4574e+06,19480,3,0,5964.28,1065.86,3908.2,-3.67258,-2.02467,6.1392,7208.82,0.00129806,1.72364,2.26863,0.276372,4.59507,-1186.98,-1449.25,6960.04,-7.06141,-1.72918,-1.56265,7206.9,0.000245933,1.72404,6.01249,0.273356,2.05599,7219.1,0.00174826,1.72342,1.33606,0.276225,5.52762,-0.0025787,0.000529101,0.00504211,0.000832337,0.0228181,0.000721116,0.0285326
372639,40406,40606,2.4574e+06,19480,3,0,-3031.15,153.528,-6529.42,6.41573,2.36252,-2.92048,7189.11,0.00158708,1.72357,0.98145,0.287013,3.32191,4826.44,2207.33,-4887.85,5.11782,0.649575,5.34277,7203.89,0.00160166,1.7237,2.62098,0.286533,2.90699,7214.09,0.00208478,1.72346,3.88741,0.286762,0.415916,0.00816703,0.00237146,-0.0129772,-0.0114202,-0.00666592,0.00444428,0.0294658
16644,20439,20440,2.4574e+06,19480,3,0,-3167.89,4732.94,-4343.74,3.63273,-2.91732,-5.82454,7160.55,0.000415915,1.72019,6.18131,5.41728,3.90366,2865.2,-1903.23,-6282.44,3.90481,-5.36275,3.40035,7151.86,0.00159782,1.71994,2.4359,5.41885,2.75652,7175.49,0.00233988,1.72059,4.50885,5.41759,5.57617,0.0106387,-0.00671879,6.75123e-05,-0.00119324,0.0172694,0.00167,0.0299738
372629,40406,40606,2.4574e+06,19480,3,0,6768.9,2175.07,-1139.9,1.4579,-0.734998,7.26054,7203.74,0.00045579,1.72341,0.113453,0.28625,6.00887,3589.08,49.764,6246.85,-6.11047,-2.35872,3.51808,7198.53,0.00158113,1.72376,3.2113,0.285492,4.14209,7212.91,0.00181337,1.7241,0.180162,0.286135,5.94214,-0.000987267,-0.00651927,0.00437748,-0.0055635,0.00732639,-0.0203667,0.0302624
16648,20439,20440,2.4574e+06,13020,2,0,4707.47,-5148.04,-1634.67,0.294493,-2.01124,7.17727,7166.38,0.000260619,1.72013,5.45866,5.41785,0.59171,2983.16,-4576.21,4633.12,-3.80269,3.17391,5.57483,7158.33,0.000976098,1.71987,2.99209,5.41782,4.00406,7181.43,0.00276324,1.71996,0.348902,5.41789,5.70147,-0.00683986,0.00765391,0.0105288,0.00139595,0.00366405,-0.0171649,0.0323115
16633,20439,20440,2.4574e+06,13020,2,0,4078.78,-3744.42,-4545.61,2.45109,-4.1997,5.65383,7159.91,0.000688534,1.7202,3.11311,5.41661,2.47339,4298.85,-5462.98,1735.23,-2.00263,0.69942,7.15079,7164.97,0.000405848,1.7198,1.78206,5.41658,4.74854,7182.03,0.00277227,1.72014,5.99808,5.41666,5.87161,-0.0022958,-0.000103077,0.0160622,-0.00378629,0.0111288,-0.0113709,0.0325807
372644,40406,40606,2.4574e+06,19480,3,0,6764.38,1715.92,1770.75,-1.46814,-1.57669,7.12369,7203.09,0.000618819,1.72342,0.987374,0.287469,5.54729,994.245,-845.359,7082.15,-7.06632,-2.20065,0.722753,7194.58,0.00128707,1.7238,3.87,0.286849,3.88461,7216.04,0.00261819,1.72387,0.786797,0.287588,5.74789,-0.00675451,-0.00635739,0.00416816,0.0063905,0.010663,-0.0187291,0.0326485
402254,40522,40479,2.4574e+06,19480,3,0,6880.96,1735.59,1292.76,-1.00207,-1.43882,7.22412,7213.62,0.000996039,1.72359,1.70407,0.275133,4.76146,1474.14,-714.467,7019.71,-7.00632,-2.15411,1.24727,7206.62,0.000672174,1.72404,3.32952,0.271994,4.35327,7215.61,0.00101108,1.72461,1.42605,0.275324,5.0395,0.00219948,-0.00746428,-0.00013037,-0.00318462,0.0254243,-0.00134925,0.0334412
16629,20439,20440,2.4574e+06,19480,3,0,-4387.55,5491.6,-1380.56,1.77134,-0.404719,-7.23658,7166.66,0.000461141,1.72013,3.49612,5.41605,6.12481,877.945,610.399,-7080.48,4.81865,-5.68639,0.104546,7148.02,0.00181889,1.71998,1.78517,5.41748,2.94176,7175.92,0.00252332,1.72,4.14625,5.41602,5.47467,0.00841072,-0.0108887,-0.00228031,-0.00220338,0.0173249,0.00892413,0.0335588
16628,20439,20440,2.4574e+06,13020,2,0,-4387.55,5491.6,-1380.56,1.77134,-0.404719,-7.23658,7166.66,0.000461141,1.72013,3.49612,5.41605,6.12481,-1195.19,2902.75,-6435.29,4.73742,-4.86776,-3.07595,7151.15,0.00125587,1.71995,1.1792,5.41612,3.10293,7182.21,0.00323405,1.71989,3.96614,5.416,5.65478,0.00891162,-0.0120175,-0.00545063,-0.00834541,0.00826183,0.0132033,0.0335932
402265,40522,40479,2.4574e+06,25940,4,0,-805.113,911.331,-7110.12,7.1019,2.09793,-0.538829,7196.41,0.00240089,1.72377,1.69466,0.276015,2.94471,6910.79,2030.7,-542.353,0.839781,-0.937067,7.32139,7223.88,0.00130897,1.72386,1.44148,0.274185,4.76566,7219.06,0.000990913,1.72364,3.99117,0.274202,0.647916,0.0146675,-0.00929147,-0.00381413,-0.0142081,-0.00621342,0.00336396,0.0336447
372630,40406,40606,2.4574e+06,25940,4,0,6768.9,2175.07,-1139.9,1.4579,-0.734998,7.26054,7203.74,0.00045579,1.72341,0.113453,0.28625,6.00887,1135.35,-801.169,7066.19,-7.0437,-2.21814,0.873409,7194.66,0.00131285,1.7238,3.83611,0.286841,3.89785,7212.33,0.00225704,1.72372,0.604554,0.286198,5.51776,-0.0085425,-0.00589993,0.00564951,0.00692637,0.000350296,-0.0207105,0.0336604
16643,20439,20440,2.4574e+06,13020,2,0,-3167.89,4732.94,-4343.74,3.63273,-2.91732,-5.82454,7160.55,0.000415915,1.72019,6.18131,5.41728,3.90366,974.121,496.547,-7076.86,4.79864,-5.69835,0.257864,7148.04,0.00182682,1.71998,1.81333,5.41749,2.93442,7181.6,0.00311391,1.71999,4.3678,5.41713,5.71714,0.00845238,-0.0122811,-0.00256316,-0.0100138,0.0146488,0.00551495,0.0337091
359270,40397,40415,2.4574e+06,25940,4,0,6545.41,2172.83,-2143.45,2.43665,-0.438514,7.00164,7216.85,0.000751562,1.72362,2.54639,0.272628,3.43179,2018.88,-546.086,6894.38,-6.86997,-2.18686,1.8297,7204.75,0.00113505,1.72378,2.87457,0.269037,4.72674,7208.47,0.00193205,1.72462,2.61143,0.272309,3.36671,-0.000808843,-0.00763222,-0.0047863,-0.00329507,0.023815,0.00846678,0.0345343
16639,20439,20440,2.4574e+06,19480,3,0,-726.341,-792.115,7079.53,-4.84337,5.66575,0.136096,7149.31,0.00158827,1.72031,4.61733,5.41694,3.21807,-4713.54,5204.43,1401.06,-0.132734,1.82972,-7.23502,7165.35,0.000769046,1.7198,2.65665,5.41837,0.285759,7175.87,0.00281192,1.72033,2.26948,5.41827,5.56611,-0.0150279,0.00565578,-0.0139232,0.00455572,-0.0122746,0.00243276,0.0345697
